"romaji","hiragana","definition","priority","type","japanese"
"hankō","はんこう","resistance; rebellion","9669","Unknown","反抗"
"denrai","でんらい","an item or concept introduced or transmitted from a foreign land","9670","Unknown","伝来"
"Error","","","9671","",""
"Error","","","9672","",""
"Error","","","9673","",""
"myūjiamu","ミュージアム","museum","9674","Unknown","ミュージアム"
"Error","","","9675","",""
"Error","","","9676","",""
"mayu","まゆ","eyebrow","9677","Noun","眉"
"kikin","ききん","famine; dearth","9678","Unknown","飢饉"
"koi","こい","carp, specifically common carp","9679","Noun","鯉"
"Error","","","9680","",""
"rekkyō","れっきょう","great power (powerful state)","9681","Unknown","列強"
"yuden","ゆでん","oil field","9682","Noun","油田"
"Error","","","9683","",""
"giri","ぎり","duty, obligation, burden of obligation. It can be defined as to serve one's superiors with a self-sacrificing devotion.","9684","Unknown","義理"
"Error","","","9685","",""
"Error","","","9686","",""
"Error","","","9687","",""
"Error","","","9688","",""
"kakuzuke","かくづけ","rating, ranking","9689","Noun","格付け"
"Error","","","9690","",""
"Error","","","9691","",""
"Error","","","9692","",""
"eikō","えいこう","glory","9693","Noun","栄光"
"kyūgyō","きゅうぎょう","temporary business closure","9694","Unknown","休業"
"hadō","はどう","surge, fluctuation, undulation, pulsation","9695","Noun","波動"
"mugyō","むぎょう","formlessness, bodylessness; something that is shapeless and invisible","9696","Noun","無形"
"teru","てる","to shine","9697","Unknown","照る"
"emono","えもの","game, a catch, kill, prize, quarry, prey","9698","Noun","獲物"
"Error","","","9699","",""
"kama","かま","a sickle","9700","Noun","鎌"
"yoroi","よろい","armor","9701","Noun","鎧"
"Guamu","グアム","Guam","9702","Unknown","グアム"
"taira","たいら","flat, even, level, smooth, having no variation in altitude","9703","Unknown","平ら"
"dōchō","どうちょう","same condition","9704","Noun","同調"
"Error","","","9705","",""
"itadaku","いただく","(humble) to receive","9706","Verb","頂く"
"kikuka","きくか","chrysanthemum flower","9707","Noun","菊花"
"shōnin","しょうにん","(law) witness","9708","Unknown","証人"
"Junēvu","ジュネーヴ","Geneva","9709","Proper noun","ジュネーヴ"
"Error","","","9710","",""
"udon","うどん","a Japanese wheat noodle - in a common, written in Hiragana","9711","Unknown","うどん"
"shissō","しっそう","disappearance, absconding","9712","Noun","失踪"
"Error","","","9713","",""
"Error","","","9714","",""
"Error","","","9715","",""
"genron","げんろん","speech (as in freedom of speech)","9716","Unknown","言論"
"keiryō","けいりょう","measurement; computation","9717","Unknown","計量"
"Error","","","9718","",""
"Error","","","9719","",""
"kikō","きこう","travelogue, a book of travels","9720","Unknown","紀行"
"rōpu","ロープ","rope","9721","Unknown","ロープ"
"Error","","","9722","",""
"shūha","しゅうは","(religion) religious sect","9723","Unknown","宗派"
"Kodaira","こだいら","a place name, such as that of Kodaira City in Tokyo Metropolis","9724","Unknown","小平"
"fukaketsu","ふかけつ","indispensable","9725","Unknown","不可欠"
"senseki","せんせき","war record, military achievements","9726","Noun","戦績"
"Error","","","9727","",""
"Error","","","9728","",""
"Error","","","9729","",""
"Taniguchi","たにぐち","A surname​.","9730","Unknown","谷口"
"yōeki","ようえき","chemical solution","9731","Unknown","溶液"
"kuromu","クロム","chromium, Cr","9732","Noun","クロム"
"Error","","","9733","",""
"Error","","","9734","",""
"Error","","","9735","",""
"reitō","れいとう","freezing","9736","Unknown","冷凍"
"horikawa","ほりかわ","A canal.","9737","Noun","堀川"
"Error","","","9738","",""
"kessha","けっしゃ","an association, a society","9739","Unknown","結社"
"Error","","","9740","",""
"Error","","","9741","",""
"Monako","モナコ","Monaco","9742","Unknown","モナコ"
"Error","","","9743","",""
"kokka","こっか","national anthem","9744","Noun","国歌"
"hakkō","はっこう","coming into effect, coming into force","9745","Unknown","発効"
"yōkai","ようかい","dissolution, fusion","9746","Noun","溶解"
"Error","","","9747","",""
"kowareru","こわれる","to break, to be broken, to be destroyed, to be wrecked","9748","Verb","壊れる"
"Rūshi","ルーシ","Rus (medieval East Slavic state)","9749","Proper noun","ルーシ"
"busho","ぶしょ","(one's) station, post","9750","Noun","部署"
"kenshō","けんしょう","commendation","9751","Noun","顕彰"
"Error","","","9752","",""
"kanpū","かんぷう","a complete block of something, especially an opponent's actions","9753","Noun","完封"
"gōin","ごういん","coercive, forceful, pushy, aggressive, strong-arm","9754","Unknown","強引"
"kēpu","ケープ","cape (garment)","9755","Unknown","ケープ"
"iwa","いわ","rock","9756","Noun","巌"
"gesha","げしゃ","alighting","9757","Unknown","下車"
"Error","","","9758","",""
"tēma songu","テーマソング","theme song","9759","Noun","テーマソング"
"mikakeru","みかける","to come across, to notice, to happen to see","9760","Verb","見掛ける"
"hisha","ひしゃ","a shogi (Japanese chess) piece that moves as a rook in western chess (and is usually translated as such is English), though not historically analogous; often shortened to 飛 (ひ)","9761","Unknown","飛車"
"Error","","","9762","",""
"ōku","オーク","oak (tree or shrub of the genus Quercus)","9763","Noun","オーク"
"Error","","","9764","",""
"Shiga","しが","A surname​.","9765","Unknown","志賀"
"shikiru","しきる","partition, divide, mark off","9766","Verb","仕切る"
"sen'i","せんい","a transition","9767","Unknown","遷移"
"Error","","","9768","",""
"seigo","せいご","after birth, post natal","9769","Unknown","生後"
"Error","","","9770","",""
"sukyandaru","スキャンダル","scandal","9771","Noun","スキャンダル"
"Error","","","9772","",""
"Error","","","9773","",""
"Hiratsuka","ひらつか","a place name, such as that of Hiratsuka City in Kanagawa Prefecture","9774","Unknown","平塚"
"Error","","","9775","",""
"shikai","しかい","field of vision","9776","Noun","視界"
"teppō","てっぽう","gun","9777","Unknown","鉄砲"
"Error","","","9778","",""
"shisei","しせい","municipal administration","9779","Noun","市政"
"raisu","ライス","rice, more specifically cooked rice (seeds used as food)","9780","Noun","ライス"
"Error","","","9781","",""
"kokushi","こくし","the national history","9782","Unknown","国史"
"Error","","","9783","",""
"Shimoda","しもだ","a place name, such as that of Shimoda City in Shizuoka Prefecture","9784","Proper noun","下田"
"fuchaku","ふちゃく","adhesion, agglutination","9785","Noun","付着"
"Error","","","9786","",""
"Shimabara","しまばら","Shimabara Peninsula","9787","Proper noun","島原"
"Error","","","9788","",""
"Error","","","9789","",""
"Error","","","9790","",""
"baishun","ばいしゅん","prostitution","9791","Noun","売春"
"hahen","はへん","a fragment","9792","Noun","破片"
"sōnan","そうなん","shipwreck","9793","Unknown","遭難"
"Error","","","9794","",""
"Takasago","たかさご","(archaic) an old name for Taiwan","9795","Unknown","高砂"
"Error","","","9796","",""
"Error","","","9797","",""
"arukari","アルカリ","alkali (class of caustic bases)","9798","Unknown","アルカリ"
"Error","","","9799","",""
"chōka","ちょうか","excess","9800","Unknown","超過"
"esukarētā","エスカレーター","an escalator (mechanical device)","9801","Noun","エスカレーター"
"tama","たま","occasional","9802","Adjective","偶"
"kanjō","かんじょう","calculation","9803","Noun","勘定"
"Error","","","9804","",""
"naiya","ないや","(baseball, softball, cricket) an infield","9805","Noun","内野"
"yabu","やぶ","This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.","9806","Noun","藪"
"Error","","","9807","",""
"Error","","","9808","",""
"Error","","","9809","",""
"Kuwata","くわた","A surname​.","9810","Unknown","桑田"
"Nēderuranto","ネーデルラント","(historical) the Low Countries","9811","Proper noun","ネーデルラント"
"memo","メモ","memo, memorandum (a short note)","9812","Noun","メモ"
"Error","","","9813","",""
"ribā","リバー","river","9814","Noun","リバー"
"Error","","","9815","",""
"Error","","","9816","",""
"Error","","","9817","",""
"Raosu","ラオス","Laos","9818","Unknown","ラオス"
"Error","","","9819","",""
"Error","","","9820","",""
"honban","ほんばん","the real thing (of an event or action); getting serious","9821","Noun","本番"
"ōdōri","おおどおり","Main Street","9822","Unknown","大通り"
"Error","","","9823","",""
"Norumandī","ノルマンディー","Normandy","9824","Proper noun","ノルマンディー"
"Error","","","9825","",""
"nissū","にっすう","days (of duration)","9826","Noun","日数"
"Error","","","9827","",""
"kaikō","かいこう","an opening such as an open window","9828","Noun","開口"
"hachi","はち","bowl, pot","9829","Noun","鉢"
"Error","","","9830","",""
"Error","","","9831","",""
"Error","","","9832","",""
"Error","","","9833","",""
"Error","","","9834","",""
"Error","","","9835","",""
"Error","","","9836","",""
"shitsunaigaku","しつないがく","(music) chamber music","9837","Noun","室内楽"
"Kopenhāgen","コペンハーゲン","Copenhagen","9838","Proper noun","コペンハーゲン"
"Error","","","9839","",""
"zeijaku","ぜいじゃく","vulnerable, fragile, destructible","9840","Unknown","脆弱"
"sekitsui","せきつい","spine","9841","Unknown","脊椎"
"kanri","かんり","public servant","9842","Noun","官吏"
"shutsugan","しゅつがん","an application (a verbal or written request)","9843","Noun","出願"
"Error","","","9844","",""
"rimokon","リモコン","Clipping of リモートコントロール (rimōto kontorōru, “remote control”); a remote","9845","Noun","リモコン"
"shishin","ししん","needle","9846","Unknown","指針"
"matsubi","まつび","end, tail","9847","Noun","末尾"
"Error","","","9848","",""
"okiai","おきあい","offshore","9849","Unknown","沖合"
"Error","","","9850","",""
"mayou","まよう","be confused","9851","Unknown","迷う"
"Error","","","9852","",""
"Error","","","9853","",""
"Error","","","9854","",""
"Error","","","9855","",""
"Error","","","9856","",""
"shōhai","しょうはい","victory or defeat, the outcome","9857","Unknown","勝敗"
"Error","","","9858","",""
"Error","","","9859","",""
"kenpei","けんぺい","the military police","9860","Noun","憲兵"
"bodai","ぼだい","(Buddhism) bodai","9861","Noun","菩提"
"jūyō","じゅうよう","assignment to an important post","9862","Unknown","重用"
"nikkeru","ニッケル","nickel, Ni","9863","Noun","ニッケル"
"Error","","","9864","",""
"haisō","はいそう","rout","9865","Noun","敗走"
"sūpu","スープ","soup","9866","Noun","スープ"
"Herushinki","ヘルシンキ","Helsinki","9867","Proper noun","ヘルシンキ"
"rōdoku","ろうどく","reading out loud","9868","Unknown","朗読"
"funshutsu","ふんしゅつ","spewing, gushing","9869","Unknown","噴出"
"Error","","","9870","",""
"Error","","","9871","",""
"jinriki","じんりき","manpower, human power","9872","Unknown","人力"
"hina","ひな","a type of small doll, typically standing upright in the Heian period, changing style to a seated posture in the Muromachi period","9873","Noun","雛"
"seihō","せいほう","manufacturing method, techniques of manufacture","9874","Noun","製法"
"sokushitsu","そくしつ","concubine","9875","Unknown","側室"
"gisō","ぎそう","camouflage, disguise","9876","Noun","偽装"
"Error","","","9877","",""
"Error","","","9878","",""
"Kairo","カイロ","the capital of Egypt","9879","Proper noun","カイロ"
"Error","","","9880","",""
"aoume","あおうめ","unripe plum","9881","Noun","青梅"
"yōshoku","ようしょく","aquaculture, fish farming","9882","Noun","養殖"
"infuruenza","インフルエンザ","influenza","9883","Unknown","インフルエンザ"
"Error","","","9884","",""
"kameraman","カメラマン","cameraman, camera operator","9885","Unknown","カメラマン"
"Error","","","9886","",""
"inishieima","いにしえいま","the past and present","9887","Noun","古今"
"Error","","","9888","",""
"nendo","ねんど","clay","9889","Noun","粘土"
"shokuba","しょくば","one's place of work, workplace","9890","Noun","職場"
"kurushii","くるしい","physically painful, agonizing","9891","Unknown","苦しい"
"tenpu","てんぷ","attachment, appendix, annexation","9892","Unknown","添付"
"kirin","きりん","giraffe","9893","Unknown","きりん"
"Error","","","9894","",""
"Okabe","おかべ","A surname​.","9895","Unknown","岡部"
